name,common,stock,short,paper
Clupea harengus,Herring,her-nis,her-nis,her
Pollachius pollachius,Pollack,pol-nsea,pol-nsea,pol
Molva molva,Ling,lin-comb,lin-comb,lin
Sebastes norvegicus,Rose fish,smn-con,smn-con,smn
Mullus surmuletus,Red mullet,mut-comb,mut-comb,mut
Scopthalmus maximus,Turbot,tur-nsea,tur-nsea,tur
Microstomus kitt,Lemon sole,lem-nsea,lem-nsea,lem
Lepidorhombus whiffiagonis,Megrim,meg-4a6a,meg-4a6a,meg
Ammodytes spp.,Sandeels,san-ns4,san-ns4,san
Pleuronectes platessa,Plaice,ple-celt,ple-celt,ple
Merlangius merlangus,Whiting,whg-7e-k,whg-7e-k,whg
Melanogrammus aeglefinus,Haddock,had-iris,had-iris,had
Lophius piscatorius,White anglerfish,ang-78ab,ang-78ab,ang
Lophius piscatorius,White anglerfish,ang-ivvi,ang-ivvi,ang2
Nephrops,Shellfish,nep-2829,nep-2829,nep
Scyliorhinus canicula,Lesserspotted dogfish,syc27.67,syc27.67,syc
Scyliorhinus canicula,Lesserspotted dogfish,syc27.8c,syc27.8c,syc2
Mustelus asterias,Starry smooth-hound,sdv.27.nea,sdv.27.nea,sdv
Raja clavata,Thornback ray,rjc.27.afg,rjc.27.afg,rjc
Raja clavata,Thornback ray,rjc.27.347d,rjc.27.347d,rjc2
Sardina pilchardus,Pilchard,sardina_pilchardus,sar,sar
Zeus faber,John Dory,zeus_faber,jnd,jnd
Chelidonichtys lucerna,Tub gurnard,chelidonichtys_lucerna,gut,gut
Spondyliosoma cantharus,Black sea-bream,spondyliosoma_cantharus,sbb,sbb
Anarchias lupus,Wolffish,anarchias_lupus,wlf,wlf
Scophthalmus rhombus,Brill,scophthalmus_rhombus,bll,bll
Argentina silus,Greater argentine,arg-comb-ex5.,arg-comb-ex5.,arg
Engraulis encrasicolus,Anchovy,ane-pore,ane-pore,ane
Lophius budegassa,Black anglerfish,ang-78ab_2,ang-78ab_2,ang3
